序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
8847360,接收,14:42:28.894.0,0x0000030a,标准帧,数据帧,0x04,F9 50 F3 4C ,
8847361,接收,14:42:28.894.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847362,接收,14:42:28.894.0,0x00000401,标准帧,数据帧,0x08,08 A2 00 00 F4 01 00 00 ,
8847363,接收,14:42:28.954.0,0x00000301,标准帧,数据帧,0x08,03 51 DE 50 32 00 00 00 ,
8847364,接收,14:42:28.954.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847365,接收,14:42:28.962.0,0x00000303,标准帧,数据帧,0x04,82 28 00 00 ,
8847366,接收,14:42:28.962.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847367,接收,14:42:28.973.0,0x00000309,标准帧,数据帧,0x08,64 A5 00 52 0D 3C 04 00 ,
8847368,接收,14:42:28.973.0,0x0000030a,标准帧,数据帧,0x04,F9 50 F3 4C ,
8847369,接收,14:42:28.982.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847370,接收,14:42:28.983.0,0x00000401,标准帧,数据帧,0x08,08 A2 00 00 F4 01 00 00 ,
8847371,接收,14:42:29.055.0,0x00000301,标准帧,数据帧,0x08,03 51 DD 50 32 00 00 00 ,
8847372,接收,14:42:29.055.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847373,接收,14:42:29.084.0,0x00000303,标准帧,数据帧,0x04,82 28 00 00 ,
8847374,接收,14:42:29.084.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847375,接收,14:42:29.084.0,0x00000309,标准帧,数据帧,0x08,64 A5 00 52 0D 3C 04 00 ,
8847376,接收,14:42:29.084.0,0x0000030a,标准帧,数据帧,0x04,F9 50 F3 4C ,
8847377,接收,14:42:29.084.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847378,接收,14:42:29.084.0,0x00000401,标准帧,数据帧,0x08,08 A2 00 00 F4 01 00 00 ,
8847379,接收,14:42:29.153.0,0x00000301,标准帧,数据帧,0x08,03 51 DB 50 32 00 00 00 ,
8847380,接收,14:42:29.153.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847381,接收,14:42:29.163.0,0x00000303,标准帧,数据帧,0x04,82 28 00 00 ,
8847382,接收,14:42:29.163.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
