序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
8847360,接收,14:42:06.462.0,0x0000030a,标准帧,数据帧,0x04,12 51 FE 50 ,
8847361,接收,14:42:06.478.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847362,接收,14:42:06.478.0,0x00000401,标准帧,数据帧,0x08,30 A2 00 00 B8 01 00 00 ,
8847363,接收,14:42:06.558.0,0x00000301,标准帧,数据帧,0x08,18 51 CC 50 2C 00 00 00 ,
8847364,接收,14:42:06.558.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847365,接收,14:42:06.574.0,0x00000303,标准帧,数据帧,0x04,8C 28 00 00 ,
8847366,接收,14:42:06.574.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847367,接收,14:42:06.574.0,0x00000309,标准帧,数据帧,0x08,63 A8 00 52 0D 3C F8 FF ,
8847368,接收,14:42:06.574.0,0x0000030a,标准帧,数据帧,0x04,12 51 FE 50 ,
8847369,接收,14:42:06.574.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847370,接收,14:42:06.574.0,0x00000401,标准帧,数据帧,0x08,30 A2 00 00 B8 01 00 00 ,
8847371,接收,14:42:06.654.0,0x00000301,标准帧,数据帧,0x08,12 51 CE 50 2B 00 00 00 ,
8847372,接收,14:42:06.654.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847373,接收,14:42:06.654.0,0x00000303,标准帧,数据帧,0x04,89 28 00 00 ,
8847374,接收,14:42:06.654.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847375,接收,14:42:06.670.0,0x00000309,标准帧,数据帧,0x08,63 A8 00 52 0D 3C FA FF ,
8847376,接收,14:42:06.670.0,0x0000030a,标准帧,数据帧,0x04,0D 51 FE 50 ,
8847377,接收,14:42:06.686.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847378,接收,14:42:06.686.0,0x00000401,标准帧,数据帧,0x08,26 A2 00 00 AD 01 00 00 ,
8847379,接收,14:42:06.749.0,0x00000301,标准帧,数据帧,0x08,12 51 D0 50 2B 00 00 00 ,
8847380,接收,14:42:06.749.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847381,接收,14:42:06.781.0,0x00000303,标准帧,数据帧,0x04,89 28 00 00 ,
8847382,接收,14:42:06.781.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847383,接收,14:42:06.781.0,0x00000309,标准帧,数据帧,0x08,63 A8 00 52 0D 3C F8 FF ,
8847384,接收,14:42:06.781.0,0x0000030a,标准帧,数据帧,0x04,0D 51 FE 50 ,
8847385,接收,14:42:06.781.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
8847386,接收,14:42:06.781.0,0x00000401,标准帧,数据帧,0x08,26 A2 00 00 AD 01 00 00 ,
8847387,接收,14:42:06.846.0,0x00000301,标准帧,数据帧,0x08,12 51 CF 50 2C 00 00 00 ,
8847388,接收,14:42:06.846.0,0x00000302,标准帧,数据帧,0x08,C4 09 00 00 A9 50 9D 39 ,
8847389,接收,14:42:06.864.0,0x00000303,标准帧,数据帧,0x04,89 28 00 00 ,
8847390,接收,14:42:06.864.0,0x00000304,标准帧,数据帧,0x06,04 9C 03 12 00 00 ,
8847391,接收,14:42:06.864.0,0x00000309,标准帧,数据帧,0x08,63 A8 00 52 0D 3C FC FF ,
8847392,接收,14:42:06.864.0,0x0000030a,标准帧,数据帧,0x04,12 51 FE 50 ,
8847393,接收,14:42:06.878.0,0x00000400,标准帧,数据帧,0x08,01 00 8C 80 00 00 00 00 ,
