序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
0,接收,19:07:59.318.0,0x00000301,标准帧,数据帧,0x08,68 3C 42 3C 00 00 00 00 ,
1,接收,19:07:59.318.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
2,接收,19:07:59.340.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
3,接收,19:07:59.340.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
4,接收,19:07:59.340.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7F 3C D0 FF ,
5,接收,19:07:59.340.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5F 3B ,
6,接收,19:07:59.340.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
7,接收,19:07:59.340.0,0x00000401,标准帧,数据帧,0x08,DB 78 00 00 00 00 00 00 ,
8,接收,19:07:59.413.0,0x00000301,标准帧,数据帧,0x08,6D 3C 43 3C 00 00 00 00 ,
9,接收,19:07:59.413.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
10,接收,19:07:59.420.0,0x00000303,标准帧,数据帧,0x04,B1 00 36 1E ,
11,接收,19:07:59.420.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
12,接收,19:07:59.431.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7F 3C D6 FF ,
13,接收,19:07:59.431.0,0x0000030a,标准帧,数据帧,0x04,63 3C 5F 3B ,
14,接收,19:07:59.442.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
15,接收,19:07:59.442.0,0x00000401,标准帧,数据帧,0x08,DB 78 00 00 00 00 00 00 ,
16,接收,19:07:59.518.0,0x00000301,标准帧,数据帧,0x08,6D 3C 43 3C 00 00 00 00 ,
17,接收,19:07:59.518.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
18,接收,19:07:59.539.0,0x00000303,标准帧,数据帧,0x04,B1 00 36 1E ,
19,接收,19:07:59.539.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
20,接收,19:07:59.540.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7F 3C D6 FF ,
21,接收,19:07:59.540.0,0x0000030a,标准帧,数据帧,0x04,63 3C 5F 3B ,
22,接收,19:07:59.542.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
23,接收,19:07:59.542.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
24,接收,19:07:59.613.0,0x00000301,标准帧,数据帧,0x08,68 3C 46 3C 00 00 00 00 ,
25,接收,19:07:59.613.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
26,接收,19:07:59.621.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
27,接收,19:07:59.621.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
28,接收,19:07:59.630.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7F 3C D2 FF ,
29,接收,19:07:59.630.0,0x0000030a,标准帧,数据帧,0x04,63 3C 5A 3B ,
30,接收,19:07:59.641.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
31,接收,19:07:59.641.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
32,接收,19:07:59.720.0,0x00000301,标准帧,数据帧,0x08,68 3C 44 3C 00 00 00 00 ,
33,接收,19:07:59.720.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
34,接收,19:07:59.740.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
35,接收,19:07:59.740.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
36,接收,19:07:59.741.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7F 3C D2 FF ,
37,接收,19:07:59.741.0,0x0000030a,标准帧,数据帧,0x04,63 3C 5A 3B ,
38,接收,19:07:59.741.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
39,接收,19:07:59.742.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
