序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
0,接收,19:10:05.889.0,0x0000050f,标准帧,数据帧,0x08,0A 53 44 32 34 31 32 4D ,
1,接收,19:10:05.889.0,0x0000050f,标准帧,数据帧,0x08,0B 42 41 54 32 30 31 30 ,
2,接收,19:10:05.899.0,0x0000050f,标准帧,数据帧,0x08,0C 32 34 37 00 00 00 00 ,
3,接收,19:10:05.899.0,0x0000050f,标准帧,数据帧,0x08,0F 00 00 00 00 00 00 00 ,
4,接收,19:10:05.917.0,0x00000301,标准帧,数据帧,0x08,6D 3C 42 3C 00 00 00 00 ,
5,接收,19:10:05.917.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
6,接收,19:10:05.917.0,0x0000050f,标准帧,数据帧,0x08,10 00 00 00 00 00 00 00 ,
7,接收,19:10:05.917.0,0x0000050f,标准帧,数据帧,0x08,11 00 00 00 00 00 00 00 ,
8,接收,19:10:05.919.0,0x00000303,标准帧,数据帧,0x04,B1 00 36 1E ,
9,接收,19:10:05.919.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
10,接收,19:10:05.920.0,0x0000050f,标准帧,数据帧,0x08,18 67 65 38 61 37 65 00 ,
11,接收,19:10:05.920.0,0x0000050f,标准帧,数据帧,0x08,19 E8 07 08 00 64 00 00 ,
12,接收,19:10:05.939.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7E 3C D2 FF ,
13,接收,19:10:05.939.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 69 3B ,
14,接收,19:10:05.940.0,0x0000050f,标准帧,数据帧,0x08,1A 00 00 00 00 00 00 00 ,
15,接收,19:10:05.940.0,0x0000050f,标准帧,数据帧,0x08,1B 00 00 00 00 00 00 00 ,
16,接收,19:10:05.940.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
17,接收,19:10:05.941.0,0x00000401,标准帧,数据帧,0x08,DB 78 00 00 00 00 00 00 ,
18,接收,19:10:05.941.0,0x0000050f,标准帧,数据帧,0x08,1C 00 00 00 00 00 00 00 ,
19,接收,19:10:05.944.0,0x0000050f,标准帧,数据帧,0x08,1D 00 00 00 00 00 00 00 ,
20,接收,19:10:05.948.0,0x00000703,标准帧,数据帧,0x02,00 00 ,
21,接收,19:10:05.948.0,0x00000704,标准帧,数据帧,0x08,00 00 00 00 00 00 00 01 ,
22,接收,19:10:05.959.0,0x00000704,标准帧,数据帧,0x08,01 00 00 00 00 00 00 00 ,
23,接收,19:10:05.959.0,0x00000704,标准帧,数据帧,0x08,02 00 00 00 00 00 00 00 ,
24,接收,19:10:05.968.0,0x00000704,标准帧,数据帧,0x08,03 00 00 00 00 00 00 00 ,
25,接收,19:10:05.968.0,0x00000704,标准帧,数据帧,0x08,04 00 00 00 00 00 00 00 ,
26,接收,19:10:05.978.0,0x00000704,标准帧,数据帧,0x08,05 00 00 00 00 00 00 00 ,
27,接收,19:10:05.978.0,0x00000704,标准帧,数据帧,0x08,06 00 00 89 09 00 00 00 ,
28,接收,19:10:05.988.0,0x00000704,标准帧,数据帧,0x08,07 00 00 00 00 00 00 00 ,
29,接收,19:10:05.988.0,0x00000704,标准帧,数据帧,0x08,08 00 00 00 00 00 00 00 ,
30,接收,19:10:05.998.0,0x00000704,标准帧,数据帧,0x08,0B 00 00 00 00 00 00 00 ,
31,接收,19:10:05.998.0,0x00000704,标准帧,数据帧,0x08,0D 00 00 00 00 CE CE 00 ,
32,接收,19:10:06.010.0,0x00000301,标准帧,数据帧,0x08,68 3C 42 3C 00 00 00 00 ,
33,接收,19:10:06.010.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
34,接收,19:10:06.011.0,0x00000704,标准帧,数据帧,0x08,0E 00 00 00 00 00 00 00 ,
35,接收,19:10:06.011.0,0x00000704,标准帧,数据帧,0x08,0F 00 00 00 00 00 00 00 ,
36,接收,19:10:06.020.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
37,接收,19:10:06.020.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
38,接收,19:10:06.020.0,0x00000704,标准帧,数据帧,0x08,10 00 00 00 00 00 00 00 ,
39,接收,19:10:06.020.0,0x00000704,标准帧,数据帧,0x08,11 00 00 00 00 00 00 00 ,
