Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Receive,10:43:00.263.0,0x00000301,Data,Standard,0x08,ac 44 d7 37 fe ff 00 00 
1,Receive,10:43:00.263.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
2,Receive,10:43:00.273.0,0x00000303,Data,Standard,0x04,8d 14 1b 0f 
3,Receive,10:43:00.273.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
4,Receive,10:43:00.282.0,0x00000309,Data,Standard,0x08,62 a2 00 45 7b 3c d9 ff 
5,Receive,10:43:00.282.0,0x0000030a,Data,Standard,0x04,a3 43 a3 43 
6,Receive,10:43:00.293.0,0x0000030b,Data,Standard,0x01,00 
7,Receive,10:43:00.293.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
8,Receive,10:43:00.304.0,0x00000401,Data,Standard,0x08,58 89 00 00 ec ff ff ff 
9,Receive,10:43:00.363.0,0x00000301,Data,Standard,0x08,ac 44 8f 36 fe ff 00 00 
10,Receive,10:43:00.365.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
11,Receive,10:43:00.373.0,0x00000303,Data,Standard,0x04,8d 14 1b 0f 
12,Receive,10:43:00.373.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
13,Receive,10:43:00.391.0,0x00000309,Data,Standard,0x08,62 a2 00 45 76 3c d5 ff 
14,Receive,10:43:00.391.0,0x0000030a,Data,Standard,0x04,a3 43 a3 43 
15,Receive,10:43:00.393.0,0x0000030b,Data,Standard,0x01,00 
16,Receive,10:43:00.393.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
17,Receive,10:43:00.403.0,0x00000401,Data,Standard,0x08,58 89 00 00 ec ff ff ff 
18,Receive,10:43:00.464.0,0x00000301,Data,Standard,0x08,ac 44 52 35 fe ff 00 00 
19,Receive,10:43:00.464.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
20,Receive,10:43:00.473.0,0x00000303,Data,Standard,0x04,8d 14 1b 0f 
21,Receive,10:43:00.473.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
22,Receive,10:43:00.482.0,0x00000309,Data,Standard,0x08,62 a2 00 45 7b 3c d9 ff 
23,Receive,10:43:00.482.0,0x0000030a,Data,Standard,0x04,a3 43 a3 43 
24,Receive,10:43:00.493.0,0x0000030b,Data,Standard,0x01,00 
25,Receive,10:43:00.493.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
26,Receive,10:43:00.504.0,0x00000401,Data,Standard,0x08,58 89 00 00 ec ff ff ff 
27,Receive,10:43:00.565.0,0x00000301,Data,Standard,0x08,ac 44 1c 34 fe ff 00 00 
28,Receive,10:43:00.565.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
29,Receive,10:43:00.573.0,0x00000303,Data,Standard,0x04,8d 14 1b 0f 
30,Receive,10:43:00.573.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
31,Receive,10:43:00.593.0,0x00000309,Data,Standard,0x08,62 a2 00 45 76 3c d1 ff 
32,Receive,10:43:00.593.0,0x0000030a,Data,Standard,0x04,a3 43 a3 43 
33,Receive,10:43:00.593.0,0x0000030b,Data,Standard,0x01,00 
34,Receive,10:43:00.593.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
35,Receive,10:43:00.604.0,0x00000401,Data,Standard,0x08,58 89 00 00 ec ff ff ff 
36,Receive,10:43:00.662.0,0x00000604,Data,Standard,0x08,00 00 00 00 00 00 00 00 
37,Receive,10:43:00.662.0,0x00000605,Data,Standard,0x08,00 00 00 00 00 00 00 00 
38,Receive,10:43:00.662.0,0x00000606,Data,Standard,0x08,00 00 00 00 00 00 00 00 
39,Receive,10:43:00.662.0,0x00000301,Data,Standard,0x08,ac 44 ef 32 fe ff 00 00 
40,Receive,10:43:00.664.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
41,Receive,10:43:00.664.0,0x00000402,Data,Standard,0x08,1b 00 00 00 f3 e1 01 00 
42,Receive,10:43:00.666.0,0x00000403,Data,Standard,0x08,64 00 00 00 b3 e0 06 00 
43,Receive,10:43:00.674.0,0x00000303,Data,Standard,0x04,8d 14 1b 0f 
44,Receive,10:43:00.674.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
45,Receive,10:43:00.674.0,0x00000404,Data,Standard,0x01,36 
46,Receive,10:43:00.674.0,0x00000405,Data,Standard,0x08,bb 0d bb 0d bb 0d b9 0d 
47,Receive,10:43:00.685.0,0x00000309,Data,Standard,0x08,62 a2 00 45 7c 3c d3 ff 
48,Receive,10:43:00.685.0,0x0000030a,Data,Standard,0x04,a3 43 a3 43 
49,Receive,10:43:00.685.0,0x00000406,Data,Standard,0x08,bb 0d bb 0d bb 0d bb 0d 
50,Receive,10:43:00.685.0,0x00000407,Data,Standard,0x04,bb 0d bb 0d 
51,Receive,10:43:00.694.0,0x0000030b,Data,Standard,0x01,00 
52,Receive,10:43:00.694.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
53,Receive,10:43:00.694.0,0x00000408,Data,Standard,0x04,7f 1c 00 00 
54,Receive,10:43:00.694.0,0x00000409,Data,Standard,0x08,e7 e6 e6 d7 e6 e6 e7 e7 
55,Receive,10:43:00.704.0,0x00000401,Data,Standard,0x08,58 89 00 00 ec ff ff ff 
56,Receive,10:43:00.704.0,0x00000506,Data,Standard,0x07,b9 0d bb 0d 64 e6 e7 
57,Receive,10:43:00.704.0,0x00000509,Data,Standard,0x03,40 6b 01 
58,Receive,10:43:00.713.0,0x0000050a,Data,Standard,0x03,e9 e8 e7 
59,Receive,10:43:00.713.0,0x0000050d,Data,Standard,0x08,00 00 00 00 00 00 00 00 
60,Receive,10:43:00.724.0,0x0000050d,Data,Standard,0x08,01 76 35 00 00 00 00 00 
61,Receive,10:43:00.724.0,0x00000703,Data,Standard,0x02,00 00 
62,Receive,10:43:00.765.0,0x00000301,Data,Standard,0x08,ac 44 c9 31 fe ff 00 00 
63,Receive,10:43:00.765.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
64,Receive,10:43:00.773.0,0x00000303,Data,Standard,0x04,8d 14 1b 0f 
65,Receive,10:43:00.773.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
66,Receive,10:43:00.792.0,0x00000309,Data,Standard,0x08,62 a2 00 45 76 3c d5 ff 
67,Receive,10:43:00.792.0,0x0000030a,Data,Standard,0x04,a3 43 a3 43 
68,Receive,10:43:00.792.0,0x0000030b,Data,Standard,0x01,00 
69,Receive,10:43:00.792.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
70,Receive,10:43:00.803.0,0x00000401,Data,Standard,0x08,58 89 00 00 ec ff ff ff 
71,Receive,10:43:00.862.0,0x00000301,Data,Standard,0x08,ac 44 ad 30 fe ff 00 00 
72,Receive,10:43:00.862.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
73,Receive,10:43:00.873.0,0x00000303,Data,Standard,0x04,8d 14 1b 0f 
74,Receive,10:43:00.873.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
75,Receive,10:43:00.882.0,0x00000309,Data,Standard,0x08,62 a2 00 45 7b 3c d7 ff 
76,Receive,10:43:00.882.0,0x0000030a,Data,Standard,0x04,a3 43 a3 43 
77,Receive,10:43:00.892.0,0x0000030b,Data,Standard,0x01,00 
78,Receive,10:43:00.892.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
79,Receive,10:43:00.903.0,0x00000401,Data,Standard,0x08,58 89 00 00 ec ff ff ff 
80,Receive,10:43:00.963.0,0x00000301,Data,Standard,0x08,ac 44 93 2f fe ff 00 00 
81,Receive,10:43:00.963.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
82,Receive,10:43:00.973.0,0x00000303,Data,Standard,0x04,8d 14 1b 0f 
83,Receive,10:43:00.973.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
84,Receive,10:43:00.990.0,0x00000309,Data,Standard,0x08,62 a2 00 45 76 3c d7 ff 
85,Receive,10:43:00.990.0,0x0000030a,Data,Standard,0x04,a3 43 a3 43 
86,Receive,10:43:00.992.0,0x0000030b,Data,Standard,0x01,00 
87,Receive,10:43:00.992.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
88,Receive,10:43:01.003.0,0x00000401,Data,Standard,0x08,58 89 00 00 ec ff ff ff 
89,Receive,10:43:01.062.0,0x00000301,Data,Standard,0x08,ac 44 83 2e fe ff 00 00 
90,Receive,10:43:01.062.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
91,Receive,10:43:01.072.0,0x00000303,Data,Standard,0x04,8d 14 1b 0f 
92,Receive,10:43:01.072.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
93,Receive,10:43:01.082.0,0x00000309,Data,Standard,0x08,62 a2 00 45 7b 3c d7 ff 
94,Receive,10:43:01.082.0,0x0000030a,Data,Standard,0x04,a3 43 a3 43 
95,Receive,10:43:01.093.0,0x0000030b,Data,Standard,0x01,00 
96,Receive,10:43:01.093.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
97,Receive,10:43:01.104.0,0x00000401,Data,Standard,0x08,58 89 00 00 ec ff ff ff 
98,Receive,10:43:01.164.0,0x00000301,Data,Standard,0x08,ac 44 72 2d fe ff 00 00 
99,Receive,10:43:01.164.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
100,Receive,10:43:01.173.0,0x00000303,Data,Standard,0x04,8d 14 1b 0f 
101,Receive,10:43:01.173.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
102,Receive,10:43:01.191.0,0x00000309,Data,Standard,0x08,62 a2 00 45 76 3c d7 ff 
103,Receive,10:43:01.191.0,0x0000030a,Data,Standard,0x04,a3 43 a3 43 
104,Receive,10:43:01.192.0,0x0000030b,Data,Standard,0x01,00 
105,Receive,10:43:01.192.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
106,Receive,10:43:01.203.0,0x00000401,Data,Standard,0x08,58 89 00 00 ec ff ff ff 
107,Receive,10:43:01.262.0,0x00000301,Data,Standard,0x08,ac 44 6f 2c fe ff 00 00 
108,Receive,10:43:01.262.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
109,Receive,10:43:01.273.0,0x00000303,Data,Standard,0x04,8d 14 1b 0f 
110,Receive,10:43:01.273.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
111,Receive,10:43:01.283.0,0x00000309,Data,Standard,0x08,62 a2 00 45 7b 3c d7 ff 
112,Receive,10:43:01.283.0,0x0000030a,Data,Standard,0x04,a3 43 a3 43 
113,Receive,10:43:01.292.0,0x0000030b,Data,Standard,0x01,00 
114,Receive,10:43:01.292.0,0x00000400,Data,Standard,0x08,03 00 00 00 00 00 00 00 
115,Receive,10:43:01.302.0,0x00000401,Data,Standard,0x08,58 89 00 00 ec ff ff ff 
116,Receive,10:43:01.364.0,0x00000301,Data,Standard,0x08,ac 44 73 2b fe ff 00 00 
117,Receive,10:43:01.364.0,0x00000302,Data,Standard,0x08,d8 05 4c 04 a9 50 9d 39 
118,Receive,10:43:01.372.0,0x00000303,Data,Standard,0x04,8d 14 1b 0f 
119,Receive,10:43:01.372.0,0x00000304,Data,Standard,0x07,01 8c 00 20 00 c0 00 
120,Receive,10:43:01.391.0,0x00000309,Data,Standard,0x08,62 a2 00 45 76 3c d3 ff 
121,Receive,10:43:01.391.0,0x0000030a,Data,Standard,0x04,a3 43 a3 43 
122,Receive,10:43:01.391.0,0x0000030b,Data,Standard,0x01,00 
