序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
0,接收,15:16:35.810.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c ca ff 
1,接收,15:16:35.810.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
2,接收,15:16:35.810.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
3,接收,15:16:35.810.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
4,接收,15:16:35.881.0,0x00000301,数据帧,标准帧,0x08,5a 46 5c 00 00 00 00 00 
5,接收,15:16:35.881.0,0x00000302,数据帧,标准帧,0x08,ce 07 c4 09 a9 50 9d 39 
6,接收,15:16:35.890.0,0x00000303,数据帧,标准帧,0x04,20 1c 2d 23 
7,接收,15:16:35.890.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
8,接收,15:16:35.901.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c cc ff 
9,接收,15:16:35.901.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
10,接收,15:16:35.910.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
11,接收,15:16:35.910.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
12,接收,15:16:35.982.0,0x00000301,数据帧,标准帧,0x08,5a 46 5d 00 00 00 00 00 
13,接收,15:16:35.982.0,0x00000302,数据帧,标准帧,0x08,ce 07 c4 09 a9 50 9d 39 
14,接收,15:16:36.009.0,0x00000303,数据帧,标准帧,0x04,20 1c 2d 23 
15,接收,15:16:36.009.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
16,接收,15:16:36.009.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c cb ff 
17,接收,15:16:36.009.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
18,接收,15:16:36.009.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
19,接收,15:16:36.009.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
20,接收,15:16:36.081.0,0x00000301,数据帧,标准帧,0x08,5a 46 5e 00 00 00 00 00 
21,接收,15:16:36.081.0,0x00000302,数据帧,标准帧,0x08,ce 07 c4 09 a9 50 9d 39 
22,接收,15:16:36.091.0,0x00000303,数据帧,标准帧,0x04,20 1c 2d 23 
23,接收,15:16:36.091.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
24,接收,15:16:36.101.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c ce ff 
25,接收,15:16:36.101.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
26,接收,15:16:36.110.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
27,接收,15:16:36.110.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
28,接收,15:16:36.184.0,0x00000301,数据帧,标准帧,0x08,5a 46 5d 00 00 00 00 00 
29,接收,15:16:36.184.0,0x00000302,数据帧,标准帧,0x08,ce 07 c4 09 a9 50 9d 39 
30,接收,15:16:36.210.0,0x00000303,数据帧,标准帧,0x04,20 1c 2d 23 
31,接收,15:16:36.210.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
32,接收,15:16:36.210.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c ca ff 
33,接收,15:16:36.210.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
34,接收,15:16:36.210.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
35,接收,15:16:36.210.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
36,接收,15:16:36.280.0,0x00000301,数据帧,标准帧,0x08,5a 46 5c 00 00 00 00 00 
37,接收,15:16:36.280.0,0x00000302,数据帧,标准帧,0x08,ce 07 c4 09 a9 50 9d 39 
38,接收,15:16:36.291.0,0x00000303,数据帧,标准帧,0x04,20 1c 2d 23 
39,接收,15:16:36.291.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
40,接收,15:16:36.300.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c c8 ff 
41,接收,15:16:36.300.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
42,接收,15:16:36.311.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
43,接收,15:16:36.311.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
44,接收,15:16:36.382.0,0x00000301,数据帧,标准帧,0x08,5a 46 60 00 00 00 00 00 
45,接收,15:16:36.382.0,0x00000302,数据帧,标准帧,0x08,ce 07 c4 09 a9 50 9d 39 
46,接收,15:16:36.409.0,0x00000303,数据帧,标准帧,0x04,20 1c 2d 23 
47,接收,15:16:36.409.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
